# RuleNumber.TestNumber | DiscoveryRule/TestRule | True/False | Path

# TV files must contain {tvdb-xxxxxxx} or {tmdb-xxxxxxx} in the file name
     
 1.1  | T | True  | "X:\_TV\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
 1.2  | T | False | "X:\_TV\Chernobyl {tdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
 1.3  | D | False | "X:\_TV (tmdb-123456})\Chernobyl {tdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
 1.4  | D | True  | "X:\_TV\Chernobyl {tdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"


# TV files must not contain TBA in the file name
     
 2.1  | T | True  | "X:\_TV\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
 2.2  | T | False | "X:\_TV\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 TBA [Bluray-2160p Remux].mkv"
 2.3  | D | True  | "X:\_TV (non-tvdb)\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 TBA [Bluray-2160p Remux].mkv" 
 2.4  | D | False | "X:\_Movies\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 TBA [Bluray-2160p Remux].mkv" 
 
	
# TV files must either be a special feature or have s00e00 or yyyy-mm-dd in the file name
     
 3.1  | D | True  | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 3.2  | D | True  | "Z:\_TV (non-tvdb)\The Queen's Christmas Broadcast\Season 1\The Queen's Christmas Broadcast s01e2015 2015 [HDTV-720p].mp4"
 3.3  | T | True  | "X:\_TV\Cheers {tvdb-77623}\Season 11\Cheers s11e26-e28 One for the Road [SDTV].avi"          
 3.4  | T | True  | "X:\_TV\Cheers {tvdb-77623}\Season 11\Cheers s11e26e27 One for the Road [SDTV].avi"        
 3.5  | T | False | "X:\_TV\Cheers {tvdb-77623}\Season 11\Cheers s11.e26-e28 One for the Road [SDTV].avi"
 3.6  | T | False | "X:\_TV\Cheers {tvdb-77623}\Season 11\Cheers s11e26f27 One for the Road [SDTV].avi"
 3.7  | T | True  | "X:\_TV\The Late Late Show with James Corden {tvdb-292421}\Season 1\The Late Late Show with James Corden 2015-03-23 [HDTV-720p].mkv"
 3.8  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-behindthescenes.mkv"
 3.9  | T | False | "X:\_TV\The Late Late Show with James Corden {tvdb-292421}\Season 1\The Late Late Show with James Corden 20150323 [HDTV-720p].mkv"
 3.10 | T | True  | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 3.11 | T | True  | "X:\_TV\Cheers {tvdb-77623}\Season 11\Long Way Round s01e08.mkv"
 3.12 | T | True  | "X:\_TV\Cheers {tvdb-77623}\Season 11\Long Way Round s01e108e109.mkv"
 3.13 | T | True  | "X:\_TV\Cheers {tvdb-77623}\Season 11\Long Way Round s01e08-e12.mkv"
 3.14 | T | True  | "Z:\_TV\The Queen's Christmas Broadcast {tvdb-359422}\Season 1\The Queen's Christmas Broadcast s01e2015 2015 [HDTV-720p].mp4"
 3.15 | T | True  | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 3.16 | T | True  | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e2015 Puss Gets The Boot [SDTV].mkv"
 3.17 | D | False | "X:\_Movies\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 TBA [Bluray-2160p Remux].mkv" 
 
 
# TV files must either be a special feature or start with the TV show name followed by a Season/Specials folder and then the file name</Message>
     
 4.1  | D | True  | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 4.2  | T | True  | "X:\_TV\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
 4.3  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-featurette.mkv"           
 4.4  | T | True  | "X\_TV (non-tvdb)\Das Boot (1985) {tmdb-156249}\Season 1\Das Boot (1985) s01e01 [Bluray-1080p Remux].mkv"
 4.5  | T | False | "X:\_TV\Chernobyl {tvdb-360893}\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
