"_id","file","fileNameWithoutExtension","DB","footprintId","hasClosedCaptions","container","scannerReads","ffProbeData","file_size","video_resolution","fileMedium","video_codec_name","audio_codec_name","lastPluginDetails","createdAt","bit_rate","duration","statSync","HealthCheck","TranscodeDecisionMaker","lastHealthCheckDate","holdUntil","lastTranscodeDate","bumped","history","oldSize","newSize","newVsOldRatio","videoStreamIndex","lastUpdate"
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e51-e52 The Royal Sandbox + Daniel Says I'm Sorry [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e51-e52 The Royal Sandbox + Daniel Says I'm Sorry [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e51-e52 The Royal Sandbox + Daniel Says I'm Sorry [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","1EDJrvNJBk",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1858.0408487319946,"1080p","video","h264","eac3","none",1753614264397,9815086,1588,"{""mtimeMs"":1753610693749.0007,""ctimeMs"":1753610693749.0007}","Success","Transcode error",1753615803897,1756114271984,1753615795707,false,"",1.8144930163398385,0,0,0,
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e47-e48 Play Pretend + Super Daniel! [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e47-e48 Play Pretend + Super Daniel! [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e47-e48 Play Pretend + Super Daniel! [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","xawXpZ0eU",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1840.4093370437622,"1080p","video","h264","eac3","none",1753614262867,9722198,1587,"{""mtimeMs"":1753610895139.3535,""ctimeMs"":1753610895139.3535}","Success","Transcode error",1753615802030,1756114271983,1753615795204,false,"",1.797274743206799,0,0,0,
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e49-e50 Daniel Uses His Words + All Aboard [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e49-e50 Daniel Uses His Words + All Aboard [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e49-e50 Daniel Uses His Words + All Aboard [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","3EFSJ13s6",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1817.3307008743286,"1080p","video","h264","eac3","none",1753614263930,9600035,1588,"{""mtimeMs"":1753610808502.512,""ctimeMs"":1753610808502.512}","Success","Transcode error",1753615801637,1756114271983,1753615794620,false,"",1.7747370125725865,0,0,0,
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e53-e54 It's Time to Go + Daniel Doesn't Want to Stop Playing [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e53-e54 It's Time to Go + Daniel Doesn't Want to Stop Playing [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e53-e54 It's Time to Go + Daniel Doesn't Want to Stop Playing [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","xKmVumnA6",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1833.4259977340698,"1080p","video","h264","eac3","none",1753614264760,9685058,1588,"{""mtimeMs"":1753610581132.416,""ctimeMs"":1753610581132.416}","Success","Transcode error",1753615801431,1756114271984,1753615794359,false,"",1.7904550759121776,0,0,0,
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e70-e71 Daniel Feels Left Out + Daniel Gets Frustrated [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e70-e71 Daniel Feels Left Out + Daniel Gets Frustrated [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e70-e71 Daniel Feels Left Out + Daniel Gets Frustrated [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","ru8Zb7kSZi",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1629.3400106430054,"1080p","video","h264","eac3","none",1753610809297,8604938,1588,"{""mtimeMs"":1753609946434.7136,""ctimeMs"":1753609946434.7136}","Success","Transcode error",1753610961641,0,1753613310648,false,"",1.59115235414356,0,0,0,1753610958198
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 2/Daniel Tiger's Neighborhood s02e16-e17 Daniel Explores Nature + Daniel's Nature Walk [WEBRip-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 2/Daniel Tiger's Neighborhood s02e16-e17 Daniel Explores Nature + Daniel's Nature Walk [WEBRip-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s02e16-e17 Daniel Explores Nature + Daniel's Nature Walk [WEBRip-1080p][EAC3 2.0][h264]","pjctxUp1b","yIfF6SskV",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}},{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{""language"":""eng""},""width"":1920,""height"":1080}]}",1729.6574220657349,"1080p","video","h264","eac3","none",1753610815478,9116069,1591,"{""mtimeMs"":1753609427141.829,""ctimeMs"":1753609427141.829}","Success","Transcode error",1753610947096,0,1753612393716,false,"",1.6891185762360692,0,0,1,1753610931332
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 2/Daniel Tiger's Neighborhood s02e10-e11 Daniel's Friends Say No + Prince Wednesday Doesn't Want to Play [WEBRip-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 2/Daniel Tiger's Neighborhood s02e10-e11 Daniel's Friends Say No + Prince Wednesday Doesn't Want to Play [WEBRip-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s02e10-e11 Daniel's Friends Say No + Prince Wednesday Doesn't Want to Play [WEBRip-1080p][EAC3 2.0][h264]","pjctxUp1b","vrDyvJBXK",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}},{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{""language"":""eng""},""width"":1920,""height"":1080}]}",1685.3220071792603,"1080p","video","h264","eac3","none",1753610814250,8890556,1590,"{""mtimeMs"":1753609498918.5193,""ctimeMs"":1753609498918.5193}","Success","Transcode error",1753612258892,0,1753612249263,false,"",1.6458222726359963,0,0,1,1753610932215
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e72-e73 Frustration at School + Daniel is Jealous [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e72-e73 Frustration at School + Daniel is Jealous [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e72-e73 Frustration at School + Daniel is Jealous [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","3LHb7QQ8u",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1707.967001914978,"1080p","video","h264","eac3","none",1753610810115,9020186,1588,"{""mtimeMs"":1753609877369.716,""ctimeMs"":1753609877369.716}","Success","Transcode error",1753610954854,0,1753612207510,false,"",1.6679365253075957,0,0,0,1753610952082
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e68-e69 Mom Tiger Is Sick + Duckling Goes Home [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e68-e69 Mom Tiger Is Sick + Duckling Goes Home [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e68-e69 Mom Tiger Is Sick + Duckling Goes Home [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","hDpyU3uQn",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1834.5036392211914,"1080p","video","h264","eac3","none",1753610808696,9688456,1588,"{""mtimeMs"":1753610023715.0981,""ctimeMs"":1753610023715.0981}","Success","Transcode error",1753610947840,0,1753611421946,false,"",1.7915074601769447,0,0,0,1753610928965
"//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e74-e75 Jealousy at the Treehouse + Someone Else's Feelings [WEBDL-1080p][EAC3 2.0][h264].mkv","//nas2/assets3/_TV/Daniel Tiger's Neighborhood {tvdb-261511}/Season 1/Daniel Tiger's Neighborhood s01e74-e75 Jealousy at the Treehouse + Someone Else's Feelings [WEBDL-1080p][EAC3 2.0][h264].mkv","Daniel Tiger's Neighborhood s01e74-e75 Jealousy at the Treehouse + Someone Else's Feelings [WEBDL-1080p][EAC3 2.0][h264]","pjctxUp1b","GYrUWswOK",false,"mkv","{""ffProbeRead"":""success""}","{""format"":{},""streams"":[{""codec_name"":""h264"",""codec_type"":""video"",""tags"":{},""width"":1920,""height"":1080},{""codec_name"":""eac3"",""codec_type"":""audio"",""bit_rate"":""224000"",""channels"":2,""tags"":{""language"":""eng""}}]}",1745.1572437286377,"1080p","video","h264","eac3","none",1753610810815,9216597,1588,"{""mtimeMs"":1753609803058.6265,""ctimeMs"":1753609803058.6265}","Success","Transcode error",1753610957120,0,1753611414612,false,"",1.7042551208287477,0,0,0,1753610951531
